,Treatment,Label,newID,Turn_angle,Meander_mean,Ang_Velocity,Rotation_CW,Rotation_CCW
114,Low,Dark2,Trial     2_C4,94.00011,19.18605,2350.004,12.1,12.9
115,Low,Dark2,Trial     3_A4,107.63833,37.67856,2690.958,9,9.1
116,Low,Dark2,Trial     3_B1,118.6956,40.79296,2967.393,3.4,2.8
117,Low,Dark2,Trial     3_C2,124.3447,19.69945,3108.615,31.5,33.6
118,Low,Dark2,Trial     4_A2,101.1947,28.00161,2529.867,10.2,11.9
119,Low,Dark2,Trial     4_B2,122.4529,69.97736,3061.322,0,0
120,Low,Dark2,Trial     4_C3,120.5267,29.26318,3013.166,2.7,5.5
121,Low,Dark2,Trial     5_B3,98.3436375,27.7532,2458.59375,3.75,3.5
122,Low,Dark2,Trial     5_C2,119.875,45.51316,2996.874,0.5,0.3
123,Low,Dark2,Trial     5_C3,115.09488,50.94563,2877.373,1.1,0.8
124,Low,Dark2,Trial     6_A1,103.50643,41.32767,2587.658,2.7,3.4
125,Low,Dark2,Trial     6_B1,116.6814,53.14021,2917.032,1.8,2.3
126,Low,Dark2,Trial     6_B4,108.07744,47.17942,2701.937,4.8,3.9
127,Low,Dark3,Trial     1_A3,125.0705,21.31241,3126.761,22.7,28.9
128,Low,Dark3,Trial     1_B3,115.27507,29.51846,2881.875,11.8,19.2
129,Low,Dark3,Trial     1_B4,121.7456,36.41891,3043.635,3.7,4
130,Low,Dark3,Trial     2_B4,NA,NA,NA,22.75,26.5
131,Low,Dark3,Trial     2_C2,120.1821,57.92021,3004.548,0,0.1
132,Low,Dark3,Trial     2_C4,119.388,55.07553,2984.702,0.5,0.4
133,Low,Dark3,Trial     3_A4,106.58386,42.25376,2664.594,4.4,4.5
134,Low,Dark3,Trial     3_B1,116.71419,59.35728,2917.856,1.1,1
135,Low,Dark3,Trial     3_C2,115.3689,52.08901,2884.225,5.2,5.2
136,Low,Dark3,Trial     4_A2,107.00502,38.23943,2675.125,5.9,6.6
137,Low,Dark3,Trial     4_B2,121.5591,67.43639,3038.981,0,0
138,Low,Dark3,Trial     4_C3,NA,NA,NA,0,0.3
139,Low,Dark3,Trial     5_B3,100.68131,30.617575,2517.03,1.4,0.9
140,Low,Dark3,Trial     5_C2,118.0986,57.39423,2952.464,1.2,1.9
141,Low,Dark3,Trial     5_C3,116.2896,56.41293,2907.24,1.2,1.9
142,Low,Dark3,Trial     6_A1,101.579,39.57945,2539.472,2.7,3.8
143,Low,Dark3,Trial     6_B1,105.49742,45.38339,2637.435,3,2.3
144,Low,Dark3,Trial     6_B4,95.3908,37.74302,2384.771,3.3,5.4
145,Low,Light1,Trial     1_A3,113.6158,40.24516,2840.394,1.8,3.2
146,Low,Light1,Trial     1_B3,132.1062,34.9602,3302.658,2.2,2.6
147,Low,Light1,Trial     1_B4,145.3412,20.91984,3633.534,3.2,2
148,Low,Light1,Trial     2_B4,128.4938,21.92854,3212.344,8.2,7.6
149,Low,Light1,Trial     2_C2,117.8348,39.32026,2945.872,8,9.2
150,Low,Light1,Trial     2_C4,103.82134,29.270114,2595.532,4.2,3.6
151,Low,Light1,Trial     3_A4,51.97178,4.659822,1299.2942,3.8,3.4
152,Low,Light1,Trial     3_B1,119.7368,59.47628,2993.424,0.2,0.2
153,Low,Light1,Trial     3_C2,81.81996,14.83376,2045.498,6.8,6.2
154,Low,Light1,Trial     4_A2,39.46622,1.6343164,986.6558,2.8,2
155,Low,Light1,Trial     4_B2,124.0804,77.34358,3102.01,0,0
156,Low,Light1,Trial     4_C3,120.6592,29.958,3016.48,6.4,10.4
157,Low,Light1,Trial     5_B3,NA,NA,NA,0,0
158,Low,Light1,Trial     5_C2,120.2782,57.48108,3006.956,0.2,0
159,Low,Light1,Trial     5_C3,55.35482,7.770402,1383.87,2.8,2.8
160,Low,Light1,Trial     6_A1,48.28978,2.51535,1207.244,3.2,2
161,Low,Light1,Trial     6_B1,49.40508,2.412028,1235.126,2.4,1.4
162,Low,Light1,Trial     6_B4,36.20072,3.243348,905.0178,4,3.6
163,Low,Light2,Trial     1_A3,120.1714,44.76322,3004.284,1.6,2.8
164,Low,Light2,Trial     1_B3,121.565,30.57364,3039.124,14.8,14.4
165,Low,Light2,Trial     1_B4,141.321,26.46238,3533.026,1,1.8
166,Low,Light2,Trial     2_B4,147.4246,20.55718,3685.612,5,6.6
167,Low,Light2,Trial     2_C2,120.1464,66.82744,3003.658,0.2,0.2
168,Low,Light2,Trial     2_C4,112.6842,31.65004,2817.108,9.2,7.4
169,Low,Light2,Trial     3_A4,64.52634,6.98831,1613.1574,6.4,6
170,Low,Light2,Trial     3_B1,119.5404,51.66444,2988.51,0.8,1.4
171,Low,Light2,Trial     3_C2,100.37248,25.323,2509.314,9.2,8.8
172,Low,Light2,Trial     4_A2,91.9426,15.172668,2298.564,8.8,9.2
173,Low,Light2,Trial     4_B2,122.749,73.674,3068.722,0,0
174,Low,Light2,Trial     4_C3,NA,NA,NA,0.5,8.5
175,Low,Light2,Trial     5_B3,119.5624,48.93056,2989.062,0.2,0.2
176,Low,Light2,Trial     5_C2,120.1296,59.94674,3003.236,0.6,0
177,Low,Light2,Trial     5_C3,43.43762,4.814036,1085.9394,3.4,2.6
178,Low,Light2,Trial     6_A1,64.02244,6.22373,1600.562,2.8,1.8
179,Low,Light2,Trial     6_B1,49.8837,3.694566,1247.092,4,4.8
180,Low,Light2,Trial     6_B4,30.62668,1.976836,765.6672,1.4,1.8
181,Medium,Dark1,Trial     1_B2,117.157,49.20381,2928.93,4.8,5
182,Medium,Dark1,Trial     1_C2,113.63,42.01013,2840.749,7.2,7.6
183,Medium,Dark1,Trial     1_C4,112.1095,37.75967,2802.736,5,4.8
184,Medium,Dark1,Trial     2_B1,118.583,48.68177,2964.574,0.1,0.3
185,Medium,Dark1,Trial     2_C1,127.7225,25.58761,3193.06,4.2,2.8
186,Medium,Dark1,Trial     3_A3,116.97615,25.63715,2924.398,6.6,6.9
187,Medium,Dark1,Trial     3_C3,120.3605,58.60275,3009.008,0,0
188,Medium,Dark1,Trial     3_C4,NA,NA,NA,7.3,6.4
189,Medium,Dark1,Trial     4_A1,112.261,49.06378,2806.526,1.9,3
190,Medium,Dark1,Trial     4_A3,118.4553,64.23114,2961.388,1,0.8
191,Medium,Dark1,Trial     4_C4,114.07869,28.26231,2851.971,11.2,11.3
192,Medium,Dark1,Trial     5_A2,111.3476,50.73718,2783.691,3.5,3.4
193,Medium,Dark1,Trial     5_A3,107.55129,37.42919,2688.786,6.1,8.2
194,Medium,Dark1,Trial     5_A4,114.0125,61.8841375,2850.31125,0.5,0.5
195,Medium,Dark1,Trial     6_B3,94.63696,32.8605,2365.927,5.4,4.5
196,Medium,Dark1,Trial     6_C3,114.853,52.11021,2871.327,2,2
197,Medium,Dark2,Trial     1_B2,106.96317,36.63487,2674.079,6.7,6.1
198,Medium,Dark2,Trial     1_C2,105.04259,30.75767,2626.064,13,12.4
199,Medium,Dark2,Trial     1_C4,110.7193,43.68499,2767.984,4.6,4.7
200,Medium,Dark2,Trial     2_A1,119.7673,50.55765,2994.183,0,0
201,Medium,Dark2,Trial     2_B1,91.69261,21.47975,2292.315,7.9,7.1
202,Medium,Dark2,Trial     2_C1,124.7304,34.94682,3118.259,2.3,3.1
203,Medium,Dark2,Trial     3_A3,103.959075,34.305975,2598.975,6.5,8.375
204,Medium,Dark2,Trial     3_C3,122.6801,63.40312,3067.004,0,0
205,Medium,Dark2,Trial     3_C4,NA,NA,NA,13.2,14.7
206,Medium,Dark2,Trial     4_A1,109.25335,40.19335,2731.335,3.3,4.4
207,Medium,Dark2,Trial     4_A3,119.2346,66.44755,2980.861,1,1.7
208,Medium,Dark2,Trial     4_C4,NA,NA,NA,2.4,3.7
209,Medium,Dark2,Trial     5_A2,112.0352,49.38782,2800.885,5.5,5
210,Medium,Dark2,Trial     5_A3,108.88933,46.15948,2722.235,4.2,4.1
211,Medium,Dark2,Trial     5_A4,118.5327,50.8345,2963.318,0.5,0.5
212,Medium,Dark2,Trial     6_B3,100.86054,35.79712,2521.513,2.5,3.3
213,Medium,Dark2,Trial     6_C3,114.5768,55.85378,2864.42,0.8,1.6
214,Medium,Dark3,Trial     1_B2,110.80261,40.97089,2770.059,7.2,8.7
215,Medium,Dark3,Trial     1_C2,101.92214,23.51003,2548.054,13.9,12.9
216,Medium,Dark3,Trial     1_C4,105.89475,37.11347,2647.371,4.1,6.5
217,Medium,Dark3,Trial     2_A1,114.8695,45.49053,2871.737,2.6,2
218,Medium,Dark3,Trial     2_B1,99.06806,23.03614,2476.7,10.1,9.8
219,Medium,Dark3,Trial     2_C1,120.9894,39.25846,3024.734,14.9,20.7
220,Medium,Dark3,Trial     3_A3,119.658,48.74666,2991.449,0.3,0.4
221,Medium,Dark3,Trial     3_C3,119.9363,43.85267,2998.411,0,0.1
222,Medium,Dark3,Trial     3_C4,NA,NA,NA,1,1.2
223,Medium,Dark3,Trial     4_A1,107.03552,45.86919,2675.886,1.9,1.9
224,Medium,Dark3,Trial     4_A3,119.7039,51.47357,2992.596,0.1,0.1
225,Medium,Dark3,Trial     4_C4,118.3918,55.18193,2959.796,1.4,1.2
226,Medium,Dark3,Trial     5_A2,113.7076,49.80196,2842.691,3.1,3.9
227,Medium,Dark3,Trial     5_A3,110.53947,41.5795,2763.486,4.4,4.5
228,Medium,Dark3,Trial     5_A4,115.5017,55.76149,2887.54,1.1,1
229,Medium,Dark3,Trial     6_B3,89.02225,29.126022,2225.556,5.3,4.9
230,Medium,Dark3,Trial     6_C3,101.98131,33.88757,2549.534,6.5,6.1
231,Medium,Light1,Trial     1_B2,112.10368,21.22614,2802.592,4,5.2
232,Medium,Light1,Trial     1_C2,119.8437,19.35226,2996.092,5.4,7.6
233,Medium,Light1,Trial     1_C4,62.20054,6.222548,1555.016,5.4,5
234,Medium,Light1,Trial     2_A1,118.8992,56.15998,2972.48,0.2,1
235,Medium,Light1,Trial     2_B1,99.40044,16.28428,2485.008,12.2,13
236,Medium,Light1,Trial     2_C1,119.9374,33.06382,2998.436,7.4,7.4
237,Medium,Light1,Trial     3_A3,124.845,21.148,3121.13,11,15
238,Medium,Light1,Trial     3_C3,117.212,53.38826,2930.298,0.6,0
239,Medium,Light1,Trial     3_C4,132.4038,23.40464,3310.092,11.6,10.4
240,Medium,Light1,Trial     4_A1,74.8894,11.764366,1872.234,8,6.4
241,Medium,Light1,Trial     4_A3,118.481,54.31188,2962.028,3,3.2
242,Medium,Light1,Trial     4_C4,121.1748,39.29938,3029.37,3.2,5.2
243,Medium,Light1,Trial     5_A2,62.6378,5.9464,1565.942,4.2,2.8
244,Medium,Light1,Trial     5_A3,48.99054,4.607,1224.762,2,2.8
245,Medium,Light1,Trial     5_A4,114.7916,35.34084,2869.784,1,0.8
246,Medium,Light1,Trial     6_B3,47.63068,2.60655,1190.7652,4,3.6
247,Medium,Light1,Trial     6_C3,48.96308,4.677192,1224.076,2.2,4.8
248,Medium,Light2,Trial     1_B2,124.11868,28.59788,3102.966,3.4,2.8
249,Medium,Light2,Trial     1_C2,124.6894,20.09252,3117.234,14,13.8
250,Medium,Light2,Trial     1_C4,125.59954,21.80044,3139.994,5,5.2
251,Medium,Light2,Trial     2_A1,118.2902,59.40274,2957.254,0.2,0.4
252,Medium,Light2,Trial     2_B1,112.35,28.52602,2808.746,5.6,7.6
253,Medium,Light2,Trial     2_C1,87.25548,19.462148,2181.386,8.4,7.8
254,Medium,Light2,Trial     3_A3,118.6484,47.78184,2966.208,0,0.2
255,Medium,Light2,Trial     3_C3,120.9246,54.79254,3023.114,0,0
256,Medium,Light2,Trial     3_C4,140.8146,29.59058,3520.366,3.2,3.6
257,Medium,Light2,Trial     4_A1,61.14952,6.571986,1528.736,3.2,5.4
258,Medium,Light2,Trial     4_A3,119.433,51.49202,2985.826,1,0.8
259,Medium,Light2,Trial     4_C4,109.73368,54.63008,2743.344,2,1.8
260,Medium,Light2,Trial     5_A2,54.94448,5.770886,1373.6122,3.2,3.2
261,Medium,Light2,Trial     5_A3,50.72016,6.558402,1268.002,2,1.2
262,Medium,Light2,Trial     5_A4,105.48548,42.19646,2637.136,1.2,3.4
263,Medium,Light2,Trial     6_B3,40.08242,2.03711,1002.0606,2.6,3.4
264,Medium,Light2,Trial     6_C3,99.0564,18.889656,2476.41,5.6,7
265,Vehicle,Dark1,Trial     1_A1,118.072,29.394,2951.81,5,9
266,Vehicle,Dark1,Trial     1_A2,119.5679,64.09873,2989.204,0,0
267,Vehicle,Dark1,Trial     1_C3,59.5002,32.4965,1487.5,0,0
268,Vehicle,Dark1,Trial     2_A4,NA,NA,NA,5.3,4.7
269,Vehicle,Dark1,Trial     2_B2,119.7753,54.47485,2994.384,4.9,12.6
270,Vehicle,Dark1,Trial     2_C3,108.64915,32.194,2716.23,12.2,9.5
271,Vehicle,Dark1,Trial     3_A2,117.4055,48.42782,2935.137,1.2,1.1
272,Vehicle,Dark1,Trial     3_B3,114.9225,52.74829,2873.063,0.6,1
273,Vehicle,Dark1,Trial     4_B1,NA,NA,NA,5.1,3.1
274,Vehicle,Dark1,Trial     5_B1,106.25411,32.29434,2656.35,2.6,4.9
275,Vehicle,Dark1,Trial     5_B2,111.15498,52.31691,2778.877,1.7,1.6
276,Vehicle,Dark1,Trial     5_B4,111.6572,46.7217,2791.434,2.4,4.3
277,Vehicle,Dark1,Trial     6_A3,108.357,45.46046,2708.926,4.7,6.1
278,Vehicle,Dark1,Trial     6_C1,100.59129,35.74063,2514.781,5.9,5.5
279,Vehicle,Dark1,Trial     6_C2,110.6147,50.40758,2765.369,2.8,2.8
280,Vehicle,Dark2,Trial     1_A1,118.7251,49.48312,2968.129,0,0
281,Vehicle,Dark2,Trial     1_A2,NA,NA,NA,0.888888889,1
282,Vehicle,Dark2,Trial     1_C3,121.4147,67.94145,3035.366,0.2,0.1
283,Vehicle,Dark2,Trial     2_A4,106.74875,24.79451,2668.719,5.8,6.3
284,Vehicle,Dark2,Trial     2_B2,119.8243,35.78985,2995.607,0,0.1
285,Vehicle,Dark2,Trial     2_C3,104.24456,31.4285,2606.111,7,10
286,Vehicle,Dark2,Trial     3_A2,120.4351,53.57245,3010.879,0.6,0.7
287,Vehicle,Dark2,Trial     3_B3,103.9317,39.87979,2598.291,4.3,5.2
288,Vehicle,Dark2,Trial     4_B1,NA,NA,NA,12.2,11
